1;The Rising Sun - Pink;57; Vous êtes dans un désert et vous tombez sur un cube, quelle est sa taille ?; très grand; aussi grand que moi; très petit;
2;The Rising Sun - Pink;57; Vous êtes dans un désert et vous tombez sur un cube, en quel matériau est-il fait ?; métal; bois; verre; Plastique
3;The Rising Sun - Pink;57; Vous êtes dans un désert et vous tombez sur un cube, quelle position occupe-t-il ?; est posé au sol; c'est sous le sable; C'est dans l'air;
4;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus d'un cube, vous voyez un escalier, quelle est sa taille ?; C'est très haut; Il est aussi grand que moi; c'est petit;
5;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus d'un cube, vous voyez un escalier, à quoi ressemble-t-il ?; il est en pierre avec de grandes marches; c'est en spirale; c'est une échelle de peintre;
6;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus d'un cube, vous voyez un escalier, où est-il ?; appuyé sur le cube; au-dessus du cube;loin du cube;
7;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus d'un cube et d'une échelle, un cheval apparaît, à quoi ressemble-t-il ?; beau et élégant; grand et plein d'énergie; petit et fatigué;
8;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus d'un cube et d'une échelle, un cheval apparaît, que fait-il ?; des promenades; C'est arrêté; court;
9;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus d'un cube et d'une échelle, un cheval apparaît, quelle position occupe-t-il ?; c'est loin du cube et de l'échelle; C'est au cube et à l'échelle; c'est très proche du cube et de l'échelle;
10;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus de voir un cube, une échelle et un cheval, vous remarquez qu'une tempête arrive, à quelle distance se trouve-t-elle ?; c'est au-dessus de moi; c'est très loin; approche à grands pas;
11;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus de voir un cube, une échelle et un cheval, une tempête est arrivée, lequel d'entre eux est sauvé ?; cheval; cube; échelle;
12;The Rising Sun - Pink;57;Vous êtes dans un désert et, en plus de voir un cube, une échelle et un cheval, vous voyez aussi des fleurs, combien y en a-t-il ?; seulement un; peu; de nombreux;
13;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus de voir un cube, une échelle et un cheval, vous voyez aussi des fleurs, à quelle distance sont-elles du cube ?; ils sont très proches; je suis au dessus du cube; ils sont éloignés;
14;The Rising Sun - Pink;57; Vous êtes dans un désert et, en plus de voir un cube, une échelle et un cheval, vous voyez aussi des fleurs, de quelle couleur sont-elles ?; vert; rose; jaune; rouge
15;The Rising Sun - Pink;57; La ville est inondée et entre les maisons vous voyez un objet descendre dans l'eau, qu'est-ce que c'est ?; un arbre; une paire de chaussures; un sac plein de nourriture;
16;The Rising Sun - Pink;57; Vous devez laver beaucoup de vêtements à la main et les suspendre à l'extérieur pour les faire sécher, mais vous voyez que le ciel est rempli de nuages sombres. Qu'est-ce que tu penses?; mieux vaut attendre, le temps va s'améliorer; les prévisions annoncent du beau temps; il vaut mieux remettre à demain;je commence pareil
17;The Rising Sun - Pink;57; Vous regardez la mer depuis votre chambre et vous vous endormez, que voyez-vous en vous réveillant ?; le soleil commence à se coucher; il fait nuit et la mer est plongée dans l'obscurité; il y a un léger brouillard; un soleil merveilleux
18;The Rising Sun - Pink;57; Deux enfants se regardent d'une rive opposée de la rivière, de quelle couleur est le pont qui peut les réunir ?; gris; rouge; le noir; vert
19;The Rising Sun - Pink;57; Ils vous invitent à jouer en tant que musicien dans un orchestre professionnel, quel instrument choisissez-vous ?; violon; contrebasse; trompette; flûte
20;The Rising Sun - Pink;57; Imaginez un ciel bleu, à quoi ressemble le paysage environnant ?; un paysage enneigé; une mer limpide; une montagne pleine de végétation; un champ de fleurs jaunes
21;The Rising Sun - Pink;57; Vous voyez un lion et une lionne manger de gros morceaux de viande, qu'en pensez-vous ?; j'ai peur; les chanceux; c'est dégoutant; c'est leur nature
22;The Rising Sun - Orange;56;Vous plantez 100 graines d'une plante spéciale dans le désert, combien survivent ?; 1 - 40; 41 - 80; 81 - 98; 99 - 100
23;The Rising Sun - Orange;56; Il se met à pleuvoir très fort et vous êtes à 5 minutes de l'endroit où vous devez vous rendre, comment réagissez-vous ?; Je trouve un endroit pour m'abriter; Je cherche un magasin pour acheter un parapluie; J'ouvre le parapluie que j'ai toujours avec moi; Je cours pour y arriver au plus vite
24;The Rising Sun - Orange;56; Vous soufflez des bulles de savon dans un champ ouvert, que se passe-t-il ?; ils flottent dans le ciel; des centaines de bulles sortent; un énorme sort; le vent les emporte
25;The Rising Sun - Orange;56; Vous exposez sur un marché d'antiquités, comment ça se passe ?; tout le monde admire mes bijoux; personne ne s'arrête; Je suis l'exposant qui a vendu le plus;
26;The Rising Sun - Orange;56; Imaginez trouver un œuf et le casser, de quel animal s'agit-il ?; dinosaure; serpent; tortue; poule
27;The Rising Sun - Orange;56; Vous venez d'affronter un gigantesque labyrinthe, comment vous sentez-vous ?;Je pensais que je ne pouvais pas sortir; heureusement d'autres personnes m'ont aidé; c'était dur mais j'ai réussi; il était très facile de sortir
28;The Rising Sun - Orange;56; Quel genre de combattant seriez-vous dans un ring ?; un combattant prêt à tout pour gagner; un lutteur avec une force énorme; lutteur qui ne manifeste pas d'émotions; un combattant très rusé
29;The Rising Sun - Orange;56; Vous devez décider de la pochette de votre nouvel album à succès, quelles caractéristiques devrait-elle avoir ?; il doit y avoir ma photo; il doit y avoir un paysage exotique; il doit y avoir une image marrante; il doit y avoir une image abstraite
30;The Rising Sun - Orange;56; Vous êtes policier et vous venez d'arrêter une personne, que vous dit le criminel ?; J'abandonne, je suis coupable; tu n'as aucune preuve, je suis innocent; je vais te faire virer;
31;The Rising Sun - Orange;56; En marchant dans la rue, vous trouvez des monstres en colère, pourquoi sont-ils ?; c'est leur nature; ils ont faim; ils recherchent leur compagnon bien-aimé; ils sont déçus par les gens
